"doi","name","url","subjects","match"
"10.25504/FAIRsharing.t3snf","Gene Wiki","http://en.wikipedia.org/wiki/Portal:Gene_Wiki","c(""Genetics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.62evqh","neXtProt","https://www.nextprot.org","c(""Proteomics"", ""Life Science"")","Life Science"
"10.25504/FAIRsharing.znvzhj","Predictive Networks","http://predictivenetworks.org/","Life Science","Life Science"
"10.25504/FAIRsharing.8bwhme","PCR Primer Database for Gene Expression Detection and Quantification","http://pga.mgh.harvard.edu/primerbank/","Life Science","Life Science"
"10.25504/FAIRsharing.p6hdm8","Prokaryotic Operon DataBase","http://operons.ibt.unam.mx/OperonPredictor","c(""Life Science"", ""Metabolomics"")","Life Science"
"10.25504/FAIRsharing.490xfb","Stem Cell Discovery Engine","http://discovery.hsci.harvard.edu/","c(""Anatomy"", ""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.c3v6e6","IPD-NHKIR - Non-Human Killer-cell Immunoglobulin-like Receptors","https://www.ebi.ac.uk/ipd/nhkir/","c(""Immunogenetics"", ""Genetics"", ""Immunology"")",NA
"10.25504/FAIRsharing.3qh2tg","MODOMICS","http://modomics.genesilico.pl/","Life Science","Life Science"
"10.25504/FAIRsharing.bemzxg","PhysioNet","https://www.physionet.org/","c(""Physiology"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.p3bzqb","Transporter Classification Database","https://tcdb.org/","c(""Knowledge and Information Systems"", ""Phylogenetics"", ""Computational Biology"", ""Life Science"", ""Cell Biology"")","Life Science"
"10.25504/FAIRsharing.2g4cfa","Quantitative Trait Loci Archive","http://phenome.jax.org/db/q?rtn=qtl/home","Life Science","Life Science"
"10.25504/FAIRsharing.hsyjka","National Database for Autism Research","http://ndar.nih.gov/","Biomedical Science",NA
"10.25504/FAIRsharing.mbgt2n","Oryzabase","http://www.shigen.nig.ac.jp/rice/oryzabase/","Life Science","Life Science"
"10.25504/FAIRsharing.9d5f5r","Biological General Repository for Interaction Datasets","http://www.thebiogrid.org","c(""Cheminformatics"", ""Biochemistry"", ""Bioinformatics"", ""Chemical Biology"", ""Proteomics"", ""Life Science"", ""Systems Biology"")","Life Science"
"10.25504/FAIRsharing.ftamrc","NITE Biological Research Center Catalogue","https://www.nite.go.jp/nbrc/catalogue/","character(0)",NA
"10.25504/FAIRsharing.xwqg9h","NIA Mouse cDNA Project","http://lgsun.grc.nia.nih.gov/cDNA/cDNA.html","Life Science","Life Science"
"10.25504/FAIRsharing.5949vn","ChemIDplus","https://chem.nlm.nih.gov/chemidplus/","c(""Chemistry"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.mewhad","ClinicalTrials.gov","http://clinicaltrials.gov/","c(""Clinical Studies"", ""Biomedical Science"", ""Epidemiology"", ""Preclinical Studies"")",NA
"10.25504/FAIRsharing.qrw6b7","Rice Genome Annotation Project","http://rice.plantbiology.msu.edu/","Life Science","Life Science"
"10.25504/FAIRsharing.v2f7t2","Drug Adverse Reaction Target","http://bidd.nus.edu.sg/group/drt/dart.asp","Biomedical Science",NA
"10.25504/FAIRsharing.znjr4p","Tumor Associated Gene database","http://www.binfo.ncku.edu.tw/TAG/GeneDoc.php","c(""Oncology"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.anxkvb","SpliceInfo","http://spliceinfo.mbc.nctu.edu.tw/","Life Science","Life Science"
"10.25504/FAIRsharing.9sb9qh","Restriction enzymes and methylases database","http://rebase.neb.com","Life Science","Life Science"
"10.25504/FAIRsharing.a46gtf","Biologic Specimen and Data Repository Information Coordinating Center","https://biolincc.nhlbi.nih.gov/home/","c(""Biomedical Science"", ""Epidemiology"", ""Preclinical Studies"")",NA
"10.25504/FAIRsharing.k81521","Integrating Data for Analysis, Anonymization, and Sharing","http://idash.ucsd.edu/","c(""Data Security"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.dt71b7","GeneNetwork","http://www.genenetwork.org/","c(""Functional Genomics"", ""Genetics"", ""Transcriptomics"")",NA
"10.25504/FAIRsharing.gcxmpf","BEI Resource Repository","http://www.beiresources.org/","c(""Life Science"", ""Biomedical Science"")","Life Science"
"10.25504/FAIRsharing.k34tv5","National Addiction & HIV Data Archive Program","https://www.icpsr.umich.edu/web/pages/NAHDAP/index.html","c(""Social Science"", ""Biomedical Science"")",NA
"10.25504/FAIRsharing.a7p1zt","NIDA Data Share","https://datashare.nida.nih.gov","c(""Clinical Studies"", ""Biomedical Science"", ""Preclinical Studies"")",NA
"10.25504/FAIRsharing.hn4mwm","NIDA Center on Genetics Studies","https://nidagenetics.org/","c(""Neurobiology"", ""Biomedical Science"", ""Preclinical Studies"")",NA
