"PMID","h_all_countries","a_all_countries","match"
"33837660","China","China","MATCH"
"34010390","c(""United_States"", ""Canada"")","c(""United_States"", ""Canada"")","MATCH"
"34273956","China","China","MATCH"
"33763309","United_States","United_States","MATCH"
"34309639","c(""India"", ""United_States"")","c(""India"", ""United_States"")","MATCH"
"33882120","Italy","Italy","MATCH"
"32997753","Chile","Chile","MATCH"
"34256256","c(""China"", ""Pakistan"")","c(""China"", ""Pakistan"")","MATCH"
"34104972","c(""Japan"", ""Canada"", ""Ireland, United_Kingdom"")","c(""Japan"", ""Canada"", ""United_Kingdom"")","MATCH"
"33685493","China","China","MATCH"
"33156327","c(""United_States"", ""Mexico, United_States"", ""Denmark"", ""Sweden"")","c(""United_States"", ""Denmark"", ""Sweden"")","NOT MATCH"
"34335304","China","China","MATCH"
"34174131","c(""Greece"", ""Israel, United_States"", ""United_States"")","c(""Greece"", ""United_States"")","NOT MATCH"
"34113986","China","China","MATCH"
"34037703","China","China","MATCH"
"34164644","China","China","MATCH"
"32382747",NA,NA,NA
"34081107","United_Kingdom","United_Kingdom","MATCH"
"33813885","United_Kingdom","United_Kingdom","MATCH"
"33116744","United_States","United_States","MATCH"
"32926121","c(""Canada"", ""United_States"")","c("" "", ""Canada"", ""United_States"")","MATCH"
"33147626","China","China","MATCH"
"33455583","Japan","Japan","MATCH"
"34344425","China","China","MATCH"
"33262341","c(""Germany"", NA)","c(""Germany"", ""United_Kingdom"")","NOT MATCH"
"34319727","Slovenia","Slovenia","MATCH"
"33950201","c(""Ireland"", ""Russia"")","c(""Ireland"", "" "", ""Russia"")","MATCH"
"33416858","France","France","MATCH"
"32702093","Chile","Chile","MATCH"
"34016708",NA,"United_States",NA
"33306802","China","China","MATCH"
"34345532","c(""China"", NA)","c(""China"", "" "")","MATCH"
"34085038","China","China","MATCH"
"33156326","Switzerland","Switzerland","MATCH"
"33119075","c(""Australia"", ""Ireland"", ""Italy"")","c(""Australia"", ""Ireland"", ""Italy"")","MATCH"
"32337573","India","c("" "", ""India"")","MATCH"
"33126250","c(NA, ""China"")","China","MATCH"
"33174605","c(""Switzerland"", ""India"", NA)","c(""Switzerland"", ""India"", ""United_Kingdom"")","NOT MATCH"
"33984507","China","China","MATCH"
"32496513",NA,NA,NA
"33981815","c(""France"", ""Switzerland"", ""Belgium"")","c(""France"", ""Switzerland"", ""Belgium"")","MATCH"
"34122663","Germany","Germany","MATCH"
"33929905","c(""Singapore"", ""United_States"", ""China"", ""Canada"", ""Austria"")","c(""Singapore"", ""United_States"", ""China"", ""Canada"", ""Austria"")","MATCH"
"33175170",NA,NA,NA
"33980298",NA,"Czechia",NA
"33104772","United_States","United_States","MATCH"
"33156332","Japan","Japan","MATCH"
"33553941",NA,"Brazil",NA
"33074547","Japan","Japan","MATCH"
"34175476","China","China","MATCH"
"33906563","China","China","MATCH"
"34192666","c(""Canada"", ""United_States"")","c(""Canada"", ""United_States"")","MATCH"
"34339812","China","c(""Macao"", ""China"")","NOT MATCH"
"34178036","Russia","Russia","MATCH"
"33119751","c(""Hungary"", ""Italy"")","c(""Hungary"", ""Italy"")","MATCH"
"32986834","c(""United_States"", ""Switzerland"", ""Denmark"")","c(""United_States"", ""Switzerland"", ""Denmark"")","MATCH"
"34048547","United_States","United_States","MATCH"
"33010176","China","China","MATCH"
"32597467",NA,"Australia",NA
"34107869","India","India","MATCH"
"34329395","c(""Switzerland"", ""Germany"")","c(""Switzerland"", ""Germany"")","MATCH"
"34156448","United_States","United_States","MATCH"
"34235237","India","India","MATCH"
"34285236","c(""Spain"", ""Portugal"", ""France"", ""Mexico"", ""Egypt"", ""Oman"")","c(""Spain"", ""Portugal"", ""France"", ""Mexico"", ""Egypt"", ""Oman"")","MATCH"
"33547946","United_States","United_States","MATCH"
"34266386","Taiwan","Taiwan","MATCH"
"34120586","China","China","MATCH"
"33952332",NA,"South_Africa",NA
"33106848",NA,NA,NA
"33993461","China","China","MATCH"
"33074314","China","China","MATCH"
"33849445","c(""United_States"", ""Denmark"", ""China"")","c(""United_States"", ""Denmark"", ""China"")","MATCH"
"32915954","Taiwan","Taiwan","MATCH"
"33436076","United_States","United_States","MATCH"
"32632099","Norway","Norway","MATCH"
"34147352","Brazil","c(""Brazil"", "" "")","MATCH"
"34269889","India","India","MATCH"
"33053178","Poland","Poland","MATCH"
"33237311","c(""Switzerland"", ""Denmark"", ""Finland"", ""Germany"")","c(""Switzerland"", ""Denmark"", ""Finland"", ""Germany"")","MATCH"
"33735471","Canada","Canada","MATCH"
"32990749","China","c(""China"", "" "")","MATCH"
"32976589","c(""Germany"", ""Denmark"")","c(""Germany"", ""Denmark"")","MATCH"
"33156333","c(""United_Kingdom"", ""Germany"", ""Switzerland"", ""United_States"", ""Italy"")","c(""United_Kingdom"", ""Germany"", ""Switzerland"", ""United_States"", ""Italy"")","MATCH"
"33252190","Spain","Spain","MATCH"
"32976679","Sweden","Sweden","MATCH"
"32392583",NA,NA,NA
"34321100","United_States","United_States","MATCH"
"34241085","United_States","United_States","MATCH"
"33568057","c(""United_States"", ""Chile"")","c(""United_States"", ""Chile"")","MATCH"
"34289329",NA,"Italy",NA
"33849055","Switzerland","Switzerland","MATCH"
"33083503","Italy","Italy","MATCH"
"33079992","c(""China"", ""Singapore"", ""United_States"")","c(""China"", ""Singapore"", ""United_States"")","MATCH"
"34242710","c(""Netherlands, Sweden, Germany, , "", ""Netherlands"", ""Sweden"", ""Germany"")","c(""Netherlands"", ""Sweden"", ""Germany"")","NOT MATCH"
"33780471",NA,"United_States",NA
"33594411","France","France","MATCH"
"33863373","c(""Iran"", ""United_States"")","c(""Iran"", ""United_States"")","MATCH"
"34006627","United_States","United_States","MATCH"
"33766657","c(""United_Kingdom"", ""Germany"")","c(""United_Kingdom"", ""Germany"")","MATCH"
"33179747","Japan","Japan","MATCH"
"33095866","China","China","MATCH"
"33068433","China","China","MATCH"
"34296749","c(""Australia"", ""China"")","c(""Australia"", ""China"")","MATCH"
"34302483","c(""Germany"", ""United_Kingdom"")","c(""Germany"", ""United_Kingdom"")","MATCH"
"34314492","c(""United_States"", ""United_Kingdom"", ""Georgia, United_States"", ""Australia"")","c(""United_States"", ""Australia"", ""United_Kingdom"")","NOT MATCH"
"33219686","China","China","MATCH"
"33151298","China","China","MATCH"
"34244700",NA,"Czechia",NA
"34025934","c(""India"", ""United_States"")","c(""India"", ""United_States"")","MATCH"
"34017945","United_States","United_States","MATCH"
"33211880","Germany","Germany","MATCH"
"32330167",NA,"United_States",NA
"33326008","Australia","Australia","MATCH"
"34078215","c(""China"", ""Finland"")","c(""China"", ""Finland"")","MATCH"
"34012763","c(""United_States"", ""Pakistan"")","c(""United_States"", ""Pakistan"")","MATCH"
"34034817","United_States","United_States","MATCH"
"33511767","China","China","MATCH"
"33849075","c(""Sweden"", ""China"", ""United_States"", ""France"", ""Turkey"", ""United_Kingdom"")","c(""Sweden"", ""China"", ""United_States"", ""France"", ""Turkey"", ""United_Kingdom"")","MATCH"
"33021634","c(""United_States"", ""Brazil"", NA)","c(""United_States"", ""Brazil"", ""Costa_Rica"")","NOT MATCH"
"33685383","India","India","MATCH"
"33147622","c(NA, ""China"")","China","MATCH"
"34080131","United_States","United_States","MATCH"
"34019656",NA,"Czechia",NA
"34259866","c(""Taiwan"", ""China, Taiwan"")","Taiwan","NOT MATCH"
"32510549",NA,NA,NA
"33275967","China","China","MATCH"
"33125081","Japan","Japan","MATCH"
"33515030","China","c(""China"", "" "")","MATCH"
"32433469","c(""China"", ""United_States"")","c(""China"", ""United_States"")","MATCH"
"33095885","India","c(""India"", "" "")","MATCH"
"32941628","China","China","MATCH"
"33459764","c(""India"", ""United_States"")","c(""India"", ""United_States"")","MATCH"
"32829394","c(NA, ""India"", ""Singapore"")","c(""United_States"", ""India"", ""Singapore"")","NOT MATCH"
"34194678","c(""China"", ""Spain"")","c(""China"", ""Spain"")","MATCH"
"34048576","United_Kingdom","United_Kingdom","MATCH"
"31831730","c(""Sweden"", ""Denmark"", NA, ""United_Kingdom"")","c(""Sweden"", ""Denmark"", ""Costa_Rica"", ""United_Kingdom"")","NOT MATCH"
"32934277","Thailand","Thailand","MATCH"
"34048545","India","India","MATCH"
"33416829","China","China","MATCH"
"33087719","United_States","United_States","MATCH"
"33313674","c(""China"", ""United_States"")","c(""China"", ""United_States"")","MATCH"
"33968360","Canada","Canada","MATCH"
"34042771","United_States","United_States","MATCH"
"33216893","China","China","MATCH"
"33367605","c(""Poland"", ""Germany"")","c(""Poland"", ""Germany"")","MATCH"
"34061414","c(""Italy"", ""Turkey"")","c(""Italy"", ""Turkey"")","MATCH"
"33084905","c(""China"", ""United_Kingdom"", ""Mexico"")","c(""China"", ""United_Kingdom"", ""Mexico"")","MATCH"
"34174819","c(""Norway"", ""United_States"")","c(""Norway"", ""United_States"")","MATCH"
"33237313","c(""Italy"", ""Argentina"", ""Germany"", ""Peru"", ""France"")","c(""Italy"", ""Argentina"", ""Germany"", ""Peru"", ""France"")","MATCH"
"33953926","c(""United_States"", ""Poland"", ""Austria"")","c(""United_States"", ""Poland"", ""Austria"")","MATCH"
"33045721","c(""Italy"", ""Germany"")","c(""Italy"", ""Germany"")","MATCH"
"33581334","China","China","MATCH"
"32591816","China","China","MATCH"
"34100240","United_States","United_States","MATCH"
"32291734","Singapore","Singapore","MATCH"
"34220930",NA,"United_Kingdom",NA
"32436932",NA,NA,NA
"33137190","United_Kingdom","United_Kingdom","MATCH"
"33399824","China","China","MATCH"
"33216899","c(""France"", ""Colombia"", ""Madagascar"", ""India"")","c(""France"", ""Colombia"", ""Madagascar"", ""India"")","MATCH"
"33247931","Portugal","Portugal","MATCH"
"33245777",NA,"South_Korea",NA
"33137192","China","China","MATCH"
