PMID,h_all_countries,a_all_countries,match,check
32597467,NA,Australia,NA,A found
33553941,NA,Brazil,NA,A found
33095862,NA,"c(""Brazil"", ""Australia"", ""United_States"")",NA,A found
33245771,NA,"c(""Canada"", "" "")",NA,A found
33929018,NA,"c(""South_Africa"", ""Saudi_Arabia"")",NA,A found
34060868,NA,"c(""United_States"", ""France"")",NA,A found
33897975,NA,"c(""United_States"", ""United_Kingdom"")",NA,A found
33416864,NA,Czechia,NA,A found
33166383,NA,Czechia,NA,A found
33768085,NA,Czechia,NA,A found
33980298,NA,Czechia,NA,A found
34244700,NA,Czechia,NA,A found
34019656,NA,Czechia,NA,A found
34289329,NA,Italy,NA,A found
33843105,NA,Russia,NA,A found
33952332,NA,South_Africa,NA,A found
33245777,NA,South_Korea,NA,A found
34081565,NA,South_Korea,NA,A found
33494129,NA,South_Korea,NA,A found
34038437,NA,South_Korea,NA,A found
34220930,NA,United_Kingdom,NA,A found
33386221,NA,United_States,NA,A found
34029142,NA,United_States,NA,A found
32396365,NA,United_States,NA,A found
32435678,NA,United_States,NA,A found
33554860,NA,United_States,NA,A found
33769951,NA,United_States,NA,A found
33193550,NA,United_States,NA,A found
33667090,NA,United_States,NA,A found
34165986,NA,United_States,NA,A found
33175872,NA,United_States,NA,A found
34152132,NA,United_States,NA,A found
33780471,NA,United_States,NA,A found
32330167,NA,United_States,NA,A found
34016708,NA,United_States,NA,A found
34167460,NULL,"c(""Spain"", ""Germany"", ""United_States"", ""Sweden"")",NOT MATCH,A found
32140729,United_States, ,NOT MATCH,H found
34104972,"c(""Japan"", ""Canada"", ""Ireland, United_Kingdom"")","c(""Japan"", ""Canada"", ""United_Kingdom"")",MATCH,NOT MATCH
33889687,Argentina,Argentina,MATCH,
33326008,Australia,Australia,MATCH,
33759252,Austria,Austria,MATCH,
34310736,Austria,Austria,MATCH,
33495705,Austria,Austria,MATCH,
32324748,Bangladesh,Bangladesh,MATCH,
32508104,Belgium,Belgium,MATCH,
33311384,Brazil,Brazil,MATCH,
34325658,Brazil,Brazil,MATCH,
33821874,Brazil,Brazil,MATCH,
30874795,Brazil,Brazil,MATCH,
33546584,Brazil,Brazil,MATCH,
34264745,Brazil,Brazil,MATCH,
34147352,Brazil,"c(""Brazil"", "" "")",MATCH,
32507889,"c(""Argentina"", ""Germany"", ""United_Kingdom"")","c(""Argentina"", ""Germany"", ""United_Kingdom"")",MATCH,
