"inventory_ids","epmc_query_ids"
"24275494","24275494"
"34244700","34244700"
"27081154","27081154"
"27694207","27694207"
"24081580","24081580"
"27789693","27789693"
"26490961","26490961"
"25465051","25465051"
"28779078","28779078"
"27924021","27924021"
"28977551","28977551"
"28365738","28365738"
"29156005","29156005"
"31832668","31832668"
"34497528","34497528"
"33068435","33068435"
"33137193","33137193"
"22829726","22829726"
"29126202","29126202"
"34025933","34025933"
"22080511","22080511"
"27507885","27507885"
"25361966","25361966"
"30239679","30239679"
"24217911","24217911"
"26602690","26602690"
"30231853","30231853"
"22084200","22084200"
"28376796","28376796"
"25392419","25392419"
"31123286","31123286"
"26644461","26644461"
"25853886","25853886"
"30357390","30357390"
"34361108","34361108"
"22039151","22039151"
"28069893","28069893"
"24628857","24628857"
"23193282","23193282"
"25097382","25097382"
"21498548","21498548"
"22559261","22559261"
"30365033","30365033"
"33852582","33852582"
"34316271","34316271"
"22647208","22647208"
"34335304","34335304"
"32193422","32193422"
"23317704","23317704"
"30247677","30247677"
"29040693","29040693"
"32765587","32765587"
"30371900","30371900"
"27582018","27582018"
"30937442","30937442"
"32986825","32986825"
"31584087","31584087"
"31680137","31680137"
"21904438","21904438"
"33996073","33996073"
"32584882","32584882"
"27924032","27924032"
"28784999","28784999"
"31978081","31978081"
"31586392","31586392"
"25052703","25052703"
"25378337","25378337"
"30715274","30715274"
"28413782","28413782"
"26861916","26861916"
"31695717","31695717"
"33643383","33643383"
"34556150","34556150"
"22434840","22434840"
"28095775","28095775"
"24272250","24272250"
"29059333","29059333"
"25487439","25487439"
"25355510","25355510"
"25414324","25414324"
"24265221","24265221"
"29077946","29077946"
"26602692","26602692"
"30150996","30150996"
"25468931","25468931"
"25428357","25428357"
"27242037","27242037"
"32507889","32507889"
"32449934","32449934"
"31665428","31665428"
"24475134","24475134"
"34839012","34839012"
"32294195","32294195"
"29321052","29321052"
"31036810","31036810"
"29106599","29106599"
"22080559","22080559"
"23904744","23904744"
"33125076","33125076"
"30239683","30239683"
"32681639","32681639"
"30624648","30624648"
"22800758","22800758"
"22876890","22876890"
"33219693","33219693"
"25972521","25972521"
"22397531","22397531"
"27899679","27899679"
"21217125","21217125"
"29186576","29186576"
"23774715","23774715"
"22139918","22139918"
"33176685","33176685"
"24285301","24285301"
"30215764","30215764"
"30893420","30893420"
"34976872","34976872"
"21335611","21335611"
"24214959","24214959"
"22135301","22135301"
"24304895","24304895"
"30272193","30272193"
"25377257","25377257"
"26433226","26433226"
"24602877","24602877"
"33247932","33247932"
"34615485","34615485"
"31665503","31665503"
"24250117","24250117"
"24077841","24077841"
"33599248","33599248"
"27161011","27161011"
"27376128","27376128"
"25332396","25332396"
"34144671","34144671"
"28327601","28327601"
"24608034","24608034"
"34736471","34736471"
"32655358","32655358"
"24399916","24399916"
"22250003","22250003"
"22125386","22125386"
"23894186","23894186"
"33037820","33037820"
"31807141","31807141"
"22084196","22084196"
"32540200","32540200"
"33010170","33010170"
"21233089","21233089"
"25378330","25378330"
"31405382","31405382"
"28708831","28708831"
"25516260","25516260"
"22359433","22359433"
"28875065","28875065"
"21904428","21904428"
"27246819","27246819"
"26401099","26401099"
"23087378","23087378"
"28605773","28605773"
"33552037","33552037"
"31599923","31599923"
"25414348","25414348"
"30053270","30053270"
"24244913","24244913"
"25360160","25360160"
"31133849","31133849"
"22139929","22139929"
"27189610","27189610"
"26820405","26820405"
"23550138","23550138"
"23390356","23390356"
"24185696","24185696"
"27623959","27623959"
"23886610","23886610"
"28365726","28365726"
"24214957","24214957"
"24079801","24079801"
"28453653","28453653"
"23203889","23203889"
"24994456","24994456"
"24948109","24948109"
"29136180","29136180"
"28821760","28821760"
"26586806","26586806"
"23203881","23203881"
"33539279","33539279"
"32026396","32026396"
"23203879","23203879"
"21210251","21210251"
"23336431","23336431"
"22080550","22080550"
"22621612","22621612"
"27050421","27050421"
"31649674","31649674"
