"id","title","isOpenAccess","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","journal.title","license"
"28511181","1-CMDb: A Curated Database of Genomic Variations of the One-Carbon Metabolism Pathway.","N","Y","N","Y","N","Public health genomics",NA
"24275494","1000 Genomes Selection Browser 1.0: a genome browser dedicated to signatures of natural selection in modern humans.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"30304689","The 10,000 Immunomes Project: Building a Resource for Human Immunology.","N","Y","N","Y","N","Cell reports",NA
"21389154","Automated identification of medically important bacteria by 16S rRNA gene sequencing using a novel comprehensive database, 16SpathDB.","N","Y","N","N","N","Journal of clinical microbiology",NA
"34244700","2DProts: Database of Family-Wide Protein Secondary Structure Diagrams. ","Y","Y","N","Y","Y","Bioinformatics (Oxford, England)","cc by"
"27081154","3CDB: a manually curated database of chromosome conformation capture data. ","Y","Y","N","Y","Y","Database : the journal of biological databases and curation","cc by"
"27694207","3DFlu: database of sequence and structural variability of the influenza hemagglutinin at population scale. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"24526713","The 3DGD: a database of genome 3D structure.","N","Y","N","Y","Y","Bioinformatics (Oxford, England)",NA
"24081580","3did: a catalog of domain-based interactions of known three-dimensional structure.","Y","Y","N","Y","Y","Nucleic acids research","cc by"
"23293959","Three-dimensional structure database of natural metabolites (3DMET): a novel database of curated 3D structures.","N","Y","N","Y","N","Journal of chemical information and modeling",NA
"27789693","3DSNP: a database for linking human noncoding SNPs to their three-dimensional interacting genes.","Y","Y","N","Y","Y","Nucleic acids research","cc by-nc"
"26490961","5SRNAdb: an information resource for 5S ribosomal RNAs.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"25465051","A-WINGS: an integrated genome database for Pleurocybella porrigens (Angel's wing oyster mushroom, Sugihiratake).","Y","Y","N","Y","Y","BMC research notes","cc by"
"33169878","Open-access platform to synthesize knowledge of ape conservation across sites.","N","Y","N","Y","N","American journal of primatology",NA
"28779078","Aspergillus Secondary Metabolite Database, a resource to understand the Secondary metabolome of Aspergillus genus.","Y","Y","N","Y","N","Scientific reports","cc by"
"27924021","AAgAtlas 1.0: a human autoantigen database.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"28977551","AAgMarker 1.0: a resource of serological autoantigen biomarkers for clinical diagnosis and prognosis of various human diseases.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"24888382","The Allergic Airway Inflammation Repository--a user-friendly, curated resource of mRNA expression levels in studies of allergic airways.","N","Y","N","Y","N","Allergy",NA
"28365738","ABCMdb reloaded: updates on mutations in ATP binding cassette proteins. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by"
"29156005","aBiofilm: a resource of anti-biofilm agents and their potential implications in targeting antibiotic drug resistance.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"31832668","AcetoBase: a functional gene repository and database for formyltetrahydrofolate synthetase sequences. ","Y","Y","N","Y","N","Database : the journal of biological databases and curation","cc by-nc"
"32702093","AciDB 1.0: a database of acidophilic organisms, their genomic information and associated metadata.","N","N","N","Y","N","Bioinformatics (Oxford, England)",NA
"34497528","ACNPD: The Database for Elucidating the Relationships Between Natural Products, Compounds, Molecular Mechanisms, and Cancer Types.","Y","Y","N","Y","N","Frontiers in pharmacology","cc by"
"25229122","A comprehensive database of verified experimental data on protein folding kinetics.","N","Y","N","Y","N","Protein science : a publication of the Protein Society",NA
"33068435","AcrDB: a database of anti-CRISPR operons in prokaryotes and viruses.","Y","Y","N","Y","N","Nucleic acids research","cc by-nc"
"33137193","AcrHub: an integrative hub for investigating, predicting and mapping anti-CRISPR proteins.","Y","Y","N","Y","N","Nucleic acids research","cc by"
"20949389","The AIDS and Cancer Specimen Resource.","N","Y","N","N","N","Methods in molecular biology (Clifton, N.J.)",NA
"22829726","Actinobase: Database on molecular diversity, phylogeny and biocatalytic potential of salt tolerant alkaliphilic actinomycetes.","Y","Y","N","N","N","Bioinformation",NA
"29126202","ActiveDriverDB: human disease mutations and genome variation in post-translational modification sites of proteins.","Y","Y","Y","Y","Y","Nucleic acids research","cc by-nc"
