"id","title","agency"
"28511181","1-CMDb: A Curated Database of Genomic Variations of the One-Carbon Metabolism Pathway.",NA
"24275494","1000 Genomes Selection Browser 1.0: a genome browser dedicated to signatures of natural selection in modern humans.",NA
"30304689","The 10,000 Immunomes Project: Building a Resource for Human Immunology.","NIAID NIH HHS"
"30304689","The 10,000 Immunomes Project: Building a Resource for Human Immunology.","National Institute of Allergy and Infectious Diseases"
"21389154","Automated identification of medically important bacteria by 16S rRNA gene sequencing using a novel comprehensive database, 16SpathDB.",NA
"34244700","2DProts: Database of Family-Wide Protein Secondary Structure Diagrams. ","Ministry of Education, Youth and Sports"
"34244700","2DProts: Database of Family-Wide Protein Secondary Structure Diagrams. ","European Regional Development Fund"
"27081154","3CDB: a manually curated database of chromosome conformation capture data. ",NA
"27694207","3DFlu: database of sequence and structural variability of the influenza hemagglutinin at population scale. ",NA
"24526713","The 3DGD: a database of genome 3D structure.",NA
"24081580","3did: a catalog of domain-based interactions of known three-dimensional structure.",NA
"23293959","Three-dimensional structure database of natural metabolites (3DMET): a novel database of curated 3D structures.",NA
"27789693","3DSNP: a database for linking human noncoding SNPs to their three-dimensional interacting genes.",NA
"26490961","5SRNAdb: an information resource for 5S ribosomal RNAs.",NA
"25465051","A-WINGS: an integrated genome database for Pleurocybella porrigens (Angel's wing oyster mushroom, Sugihiratake).",NA
"33169878","Open-access platform to synthesize knowledge of ape conservation across sites.","Max-Planck-Gesellschaft"
"33169878","Open-access platform to synthesize knowledge of ape conservation across sites.","Robert Bosch Stiftung"
"28779078","Aspergillus Secondary Metabolite Database, a resource to understand the Secondary metabolome of Aspergillus genus.",NA
"27924021","AAgAtlas 1.0: a human autoantigen database.",NA
"28977551","AAgMarker 1.0: a resource of serological autoantigen biomarkers for clinical diagnosis and prognosis of various human diseases.","NIGMS NIH HHS"
"28977551","AAgMarker 1.0: a resource of serological autoantigen biomarkers for clinical diagnosis and prognosis of various human diseases.","NEI NIH HHS"
"24888382","The Allergic Airway Inflammation Repository--a user-friendly, curated resource of mRNA expression levels in studies of allergic airways.",NA
"28365738","ABCMdb reloaded: updates on mutations in ATP binding cassette proteins. ",NA
"29156005","aBiofilm: a resource of anti-biofilm agents and their potential implications in targeting antibiotic drug resistance.",NA
"31832668","AcetoBase: a functional gene repository and database for formyltetrahydrofolate synthetase sequences. ","Swedish Energy Agency"
"31832668","AcetoBase: a functional gene repository and database for formyltetrahydrofolate synthetase sequences. ","Interreg Europe"
"31832668","AcetoBase: a functional gene repository and database for formyltetrahydrofolate synthetase sequences. ","Västra Götaland Region"
"32702093","AciDB 1.0: a database of acidophilic organisms, their genomic information and associated metadata.","FONDECYT"
"32702093","AciDB 1.0: a database of acidophilic organisms, their genomic information and associated metadata.","Fundación Ciencia &amp; Vida"
"32702093","AciDB 1.0: a database of acidophilic organisms, their genomic information and associated metadata.","Programa de Apoyo a Centros con Financiamiento Basal"
"34497528","ACNPD: The Database for Elucidating the Relationships Between Natural Products, Compounds, Molecular Mechanisms, and Cancer Types.",NA
"25229122","A comprehensive database of verified experimental data on protein folding kinetics.","NSF (UBM-Institutional-Collaborative: The Four-College Biomath Consortium)"
"33068435","AcrDB: a database of anti-CRISPR operons in prokaryotes and viruses.","United States Department of Agriculture"
"33068435","AcrDB: a database of anti-CRISPR operons in prokaryotes and viruses.","National Science Foundation"
"33068435","AcrDB: a database of anti-CRISPR operons in prokaryotes and viruses.","UNL"
"33137193","AcrHub: an integrative hub for investigating, predicting and mapping anti-CRISPR proteins.","National Health and Medical Research Council"
"20949389","The AIDS and Cancer Specimen Resource.","NCI NIH HHS"
"22829726","Actinobase: Database on molecular diversity, phylogeny and biocatalytic potential of salt tolerant alkaliphilic actinomycetes.",NA
"29126202","ActiveDriverDB: human disease mutations and genome variation in post-translational modification sites of proteins.",NA
"29956270","Data Mining: Applying the AD&FTD Mutation Database to Progranulin.",NA
"34025933","AddictGene: An integrated knowledge base for differentially expressed genes associated with addictive substance.","National Natural Science Foundation of China"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","CAS"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","Natural Science Foundation of Tianjin"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","National Key Research and Development Program of China"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","National Science Foundation of China"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","Chinese Academy of Sciences"
"31648087","AdditiveChem: A comprehensive bioinformatics knowledge-base for food additive chemicals.","CAS"
"33401309","ADeditome provides the genomic landscape of A-to-I RNA editing in Alzheimer's disease. ","National Institutes of Health"
"33401309","ADeditome provides the genomic landscape of A-to-I RNA editing in Alzheimer's disease. ","National Institutes of Health"
"33401309","ADeditome provides the genomic landscape of A-to-I RNA editing in Alzheimer's disease. ","National Institutes of Health"
"22080511","ADHDgene: a genetic database for attention deficit hyperactivity disorder.",NA
"23092397","admetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.",NA
"27507885","ADPriboDB: The database of ADP-ribosylated proteins.","NIGMS NIH HHS"
"25361966","ADReCS: an ontology database for aiding standardization and hierarchical classification of adverse drug reaction terms.",NA
"32291734","The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords.",NA
"22682155","European and international collaboration in affinity proteomics.","EU 7th Framework Programme"
"22682155","European and international collaboration in affinity proteomics.","Biotechnology and Biological Sciences Research Council"
"25048123","Antigen-Antibody Interaction Database (AgAbDb): a compendium of antigen-antibody interactions.",NA
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Science Foundation"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","U.S. Department of Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","National Institutes of Health"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","International Center for Tropical Agriculture"
"30239679","AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture. ","The US Land Grant Universities"
