"agency","count_all_funder_metadata_instances","count_unique_articles","count_unique_biodata_resources","list_PMIDs_for_funder"
"NIAID NIH HHS",95,50,44,"30304689, 30357390, 22080559, 30534948, 24214957, 24994456, 24994456, 24994456, 24994456, 24994456, 31649674, 29997612, 29997612, 23661693, 23661693, 23661693, 23661693, 23661693, 32073269, 21782820, 21782820, 21782820, 21782820, 21782820, 21782820, 21782820, 27504778, 27504778, 27504778, 27504778, 27504778, 26510927, 26510927, 26510927, 26510927, 21760913, 21760913, 29028885, 26362267, 26362267, 26362267, 22260278, 27841751, 33780471, 24203705, 26656948, 31566225, 31566225, 31566225, 29106626, 29106626, 21765097, 21765097, 21765097, 22080514, 22080514, 27053566, 27053566, 30365026, 23568467, 23568467, 30593617, 23219434, 23219434, 26602694, 26602694, 22139919, 34529321, 34529321, 34529321, 24194595, 25388105, 25388105, 25388105, 24270792, 24270792, 31114900, 31114900, 27679478, 31722416, 24259431, 33313778, 25555720, 25555720, 25555720, 25555720, 33151284, 33151284, 22067456, 31667520, 26433228, 23110173, 27903906, 25428374, 25273106"
"National Institute of Allergy and Infectious Diseases",15,14,14,"30304689, 30357390, 31649674, 33276297, 27841751, 33780471, 31161204, 33290552, 33206959, 33151284, 33151284, 33772585, 31667520, 33237286, 31598706"
"Ministry of Education, Youth and Sports",1,1,1,"34244700"
"European Regional Development Fund",13,11,11,"34244700, 30639529, 32990755, 31713636, 31713636, 33822911, 33683131, 31584092, 33080028, 33655207, 31263870, 31263870, 26141515"
"Max-Planck-Gesellschaft",3,3,3,"33169878, 35424258, 34534667"
"Robert Bosch Stiftung",1,1,1,"33169878"
"NIGMS NIH HHS",511,255,220,"28977551, 27507885, 32765587, 22760305, 22760305, 23774715, 25378330, 25378330, 25516260, 25516260, 23087378, 23087378, 23087378, 23087378, 25414348, 29637199, 24214957, 24214957, 24994456, 27050421, 27050421, 25392415, 29509874, 23794735, 23794735, 23794735, 27701074, 27701074, 23185041, 24470572, 30486838, 30486838, 23203874, 23203874, 29092931, 23661693, 23661693, 23661693, 32073269, 25333826, 25333826, 32890396, 26602695, 33174603, 30053267, 26503248, 26503248, 26946289, 26946289, 25887129, 23264352, 23264352, 23264352, 23264352, 23264352, 27907889, 33119734, 25951377, 25951377, 23172289, 23172289, 23172289, 26503254, 26503254, 26030752, 26030752, 31612957, 31612957, 31612957, 31612957, 24225319, 33995899, 26019122, 26019122, 23143106, 23143106, 23143106, 23143106, 23143106, 23197660, 23197660, 23197660, 30008982, 27141961, 23794736, 23794736, 23794736, 23794736, 23794736, 23794736, 31642488, 29337142, 30951672, 30951672, 21994220, 29890119, 24928188, 24928188, 30407583, 30407583, 21177656, 21177656, 21177656, 21177656, 21177656, 21177656, 22748121, 22748121, 22748121, 22748121, 25399415, 25399415, 25399415, 25399415, 23245398, 26780094, 23104379, 25971743, 25971743, 25971743, 31841142, 31841142, 27504778, 27504778, 27504778, 27504778, 27504778, 27504778, 27504778, 27504778, 33125055, 33119754, 33119754, 23118488, 23118488, 22846459, 22846459, 23958730, 26212453, 26212453, 26212453, 26212453, 26212453, 26212453, 26212453, 26212453, 26212453, 26212453, 26212453, 21450710, 21450710, 33973408, 23504933, 30418591, 30418591, 30418591, 26582920, 26582920, 26582920, 26582920, 25707505, 23991755, 23991755, 26173699, 26362267, 23599502, 23599502, 23599502, 23599502, 30535108, 22096229, 30397019, 30397019, 28150246, 28150246, 28150246, 27841751, 21177658, 21177658, 25166490, 28592645, 24194598, 24194598, 27789704, 27789704, 27789704, 32502232, 32502232, 22570419, 24002112, 24002112, 22058127, 31679514, 25098325, 25098325, 22701463, 23875173, 29126312, 30268942, 23044546, 23044546, 23044546, 25378301, 25378301, 29155944, 29155944, 31754718, 33174596, 33174596, 33174596, 22146221, 22146221, 29284660, 29284660, 23143105, 29206899, 26527726, 25559128, 25559128, 25559128, 25559128, 25559128, 26590264, 26590264, 27152146, 22833564, 22833564, 22833564, 22833564, 22833564, 22833564, 24271398, 24271398, 24271398, 24271398, 24271398, 24271386, 33361798, 29106626, 25102069, 25102069, 25102069, 29487113, 29487113, 29487113, 26476444, 26476444, 31584092, 26615193, 26615193, 22712730, 24939129, 24939129, 24939129, 24406170, 24406170, 24406170, 28365761, 28365761, 27026615, 27026615, 24227675, 24227675, 30357353, 30357353, 22559792, 22559792, 23426257, 23426257, 26112452, 26112452, 23624946, 23624946, 21993301, 29069441, 24304897, 24304897, 23193263, 23193263, 23193263, 23193263, 22086960, 29575358, 30985146, 30985146, 25392411, 24163250, 24163250, 34844637, 34844637, 34844637, 30329093, 24060102, 26527724, 26527724, 26527724, 32345346, 32345346, 22976082, 22127861, 29222504, 29222504, 25414355, 21472436, 21472436, 22140105, 34514416, 32785571, 24194593, 24194593, 30202870, 24271399, 24271399, 24271399, 24271399, 24271399, 24271399, 24271399, 25309735, 25309735, 25309735, 25309735, 25309735, 25309735, 31494246, 27010673, 26138588, 29733404, 23118483, 23118483, 27188311, 27188311, 24223973, 28985418, 28985418, 28985418, 30871473, 24225317, 24225317, 31240309, 21253873, 21253873, 25392422, 25392422, 26590254, 26590254, 26590254, 26590254, 33211851, 33211851, 27899583, 22067444, 22067444, 22067444, 21276248, 21276248, 23550210, 23550210, 26227548, 26227548, 25392405, 24243849, 24243849, 24285306, 24285306, 22064863, 22064863, 23226127, 22135298, 28160322, 28160322, 26578587, 26578587, 26578587, 30668832, 32728249, 32728249, 27924039, 27924039, 33290552, 33290552, 33290552, 33290552, 33290552, 25428361, 34314492, 26590263, 29059334, 29059334, 29059334, 24185695, 23868073, 23868073, 32558264, 33305318, 24304899, 24304899, 23730305, 31665425, 31665425, 27899622, 27899622, 27899622, 27899622, 21447597, 21447597, 34529321, 24356117, 31701150, 30407596, 23494302, 23494302, 23494302, 23494302, 33270111, 29145615, 29145615, 29145615, 29145615, 30417254, 31504780, 30053264, 30053264, 30053264, 25501940, 25501940, 25501940, 25501940, 25501940, 25501940, 26546518, 26546518, 26546518, 24259431, 32621232, 25514926, 23175613, 23175613, 23175613, 23175613, 25326323, 25326323, 26553799, 26553799, 27515742, 27515742, 27515742, 22067456, 27899567, 27899567, 26476458, 26476458, 26476458, 23042674, 23042674, 24270788, 25378335, 25378335, 22102576, 22102576, 22102576, 22102576, 22102576, 22102576, 23476021, 23476021, 27914894, 24214955, 24214955, 24214955, 33237286, 33237286, 27899635, 27924014, 27924014, 28891124, 27651457, 27651457, 22127867, 30395331, 33125071, 28713666, 29106616, 29106616, 26578592, 27450113, 27450113, 30395289, 22102590, 22102590, 22102590, 30476243, 23161681, 23161681, 23161681, 23161681, 24253303, 24253303, 24253303, 24253303, 23193289, 25348405, 25348405, 25348405, 25348405, 26519399, 26519399, 26519399, 30395287, 30395287, 30395287"
"NEI NIH HHS",13,9,8,"28977551, 26660198, 23661693, 23661693, 25887129, 25887129, 29337142, 29036527, 22276777, 30417254, 30417254, 27515742, 27515742"
"Swedish Energy Agency",1,1,1,"31832668"
"Interreg Europe",1,1,1,"31832668"
