ID,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count,publication_date
28511181,http://slsdb.manipal.edu/ocm,1-CMDb,0.992982775,one-carbon metabolism database,0.925644517,1-CMDb,0.992982775,1,2017-05-17
24275494,http://hsb.upf.edu,,0,1000 Genomes Selection Browser,0.770321417,1000 Genomes Selection Browser,0.770321417,1,2013-11-25
30304689,http://10kimmunomes.org,10KIP,0.928437392,"10,000 Immunomes Project",0.844234129,10KIP,0.928437392,1,2018-10-01
21389154,http://147.8.74.24/16SpathDB,16SpathDB,0.996311396,,0,16SpathDB,0.996311396,1,2011-03-09
34244700,http://2dprots.ncbr.muni.cz,2DProts,0.990597233,,0,2DProts,0.990597233,1,2021-07-09
27081154,http://3cdb.big.ac.cn,3CDB,0.995992641,,0,3CDB,0.995992641,1,2016-04-14
27694207,http://nucleus3d.cent.uw.edu.pl/influenza,3DFlu,0.99639225,,0,3DFlu,0.99639225,1,2016-10-02
24526713,http://3dgd.biosino.org,3DGD,0.996886671,Genome Database,0.968708754,3DGD,0.996886671,1,2014-02-12
24081580,http://3did.irbbarcelona.org,3did,0.997478525,interacting domains,0.710986495,3did,0.997478525,1,2013-09-29
23293959,"http://www.genome.jp/kegg/compound/, http://www.3dmet.dna.affrc.go.jp",3DMET,0.974991322,Three-dimensional structure database of natural metabolites,0.861961424,3DMET,0.974991322,1,2013-03-07
27789693,http://biotech.bmi.ac.cn/3dsnp,3DSNP,0.99662596,,0,3DSNP,0.99662596,1,2016-10-26
26490961,http://combio.pl/5srnadb,5SRNAdb,0.94896158,,0,5SRNAdb,0.94896158,1,2015-10-20
25465051,http://bioinf.mind.meiji.ac.jp/a-wings,A-WINGS,0.987336159,,0,A-WINGS,0.987336159,1,2014-12-03
33169878,http://apeswiki.eva.mpg.de,A.P.E.S,0.811360155,,0,A.P.E.S,0.811360155,1,2020-11-10
28779078,http://www.iictindia.org/A2MDB,A2MDB,0.993841752,Aspergillus Secondary Metabolites Database,0.987300144,A2MDB,0.993841752,1,2017-08-04
"27924021, 32162267",http://biokb.ncpsb.org/aagatlas,AAgAtlas,0.991741061,,0,AAgAtlas,0.991741061,2,2020-01-01
28977551,http://bioinfo.wilmer.jhu.edu/AAgMarker,AAgMarker,0.988109291,,0,AAgMarker,0.988109291,1,2018-01-01
24888382,http://aair.cimed.ike.liu.se,AAIR,0.995133579,Allergic Airway Inflammation Repository,0.976998336,AAIR,0.995133579,1,2014-06-03
28365738,http://abcm2.hegelab.org,ABCMdb,0.99738276,,0,ABCMdb,0.99738276,1,2017-01-01
29156005,http://bioinfo.imtech.res.in/manojk/abiofilm,aBiofilm,0.9043421,,0,aBiofilm,0.9043421,1,2018-01-01
31832668,http://acetobase.molbio.slu.se,AcetoBase,0.99637115,,0,AcetoBase,0.99637115,1,2019-01-01
32702093,"http://AciDB.cl, http://gitlab.com/Hawkline451/acidb",AciDB,0.99098736,,0,AciDB,0.99098736,1,2020-12-01
34497528,http://www.acnpd-fu.com,ACNPD,0.9954561,anti-cancer natural product database,0.887865017,ACNPD,0.9954561,1,2021-08-23
25229122,http://www.ats.amherst.edu/protein,ACPro,0.962495983,,0,ACPro,0.962495983,1,2014-10-14
33068435,http://bcb.unl.edu/AcrDB,AcrDB,0.997832954,,0,AcrDB,0.997832954,1,2021-01-01
33137193,http://pacrispr.erc.monash.edu/AcrHub,AcrHub,0.99744314,,0,AcrHub,0.99744314,1,2021-01-01
20949389,http://acsr.ucsf.edu,ACSR,0.963491698,AIDS and Cancer Specimen Resource,0.931551437,ACSR,0.963491698,1,2011-01-01
22829726,http://www.actinobase.in,Actinobase,0.993042409,,0,Actinobase,0.993042409,1,2012-06-16
29126202,http://www.ActiveDriverDB.org,ActiveDriverDB,0.994272113,,0,ActiveDriverDB,0.994272113,1,2018-01-01
29956270,http://www.molgen.vib-ua.be/FTDmutations,AD&FTD,0.950616956,,0,AD&FTD,0.950616956,1,2018-01-01
34025933,http://159.226.67.237/sun/addictgedb,AddictGene,0.997377753,,0,AddictGene,0.997377753,1,2021-04-19
31648087,http://www.rxnfinder.org/additivechem,AdditiveChem,0.995760739,,0,AdditiveChem,0.995760739,1,2019-09-11
33401309,http://ccsm.uth.edu/ADeditome,ADeditome,0.997124791,,0,ADeditome,0.997124791,1,2021-09-01
22080511,http://adhd.psych.ac.cn,ADHDgene,0.933751583,,0,ADHDgene,0.933751583,1,2011-11-10
23092397,http://www.admetexp.org,admetSAR,0.990115881,,0,admetSAR,0.990115881,1,2012-11-01
27507885,http://ADPriboDB.leunglab.org,ADPriboDB,0.997497678,,0,ADPriboDB,0.997497678,1,2016-08-09
