"re3data_ID","type","certificate","repositoryURL","repositoryName","subject","providerType","dataLicenseName","databaseAccessType","dataAccessType","policyName","description"
"r3d100000001","disciplinary","other","https://dataverse.unc.edu/dataverse/odum","Odum Institute Archive Dataverse","1 Humanities and Social Sciences_AND_111 Social Sciences_AND_11104 Political Science_AND_112 Economics_AND_12 Social and Behavioural Sciences","dataProvider","CC_AND_CC0","open","embargoed_AND_open_AND_restricted","Collection Development Policy_AND_CoreTrustSealAssessment_AND_Data Security Guidelines_AND_Digital Preservation Policy_AND_Metadata Guidelines_AND_Odum Institute Data Archive Data Curation Workflow_AND_UNC Dataverse terms of use","The Odum Institute Archive Dataverse contains social science data curated and archived by the Odum Institute Data Archive at the University of North Carolina at Chapel Hill. Some key collections include the primary holdings of the Louis Harris Data Center, the National Network of State Polls, and other Southern-focused public opinion data.
Please note that some datasets in this collection are restricted to University of North Carolina at Chapel Hill affiliates. Access to these datasets require UNC ONYEN institutional login to the Dataverse system."
"r3d100000002","disciplinary","","https://aad.archives.gov/aad/","Access to Archival Databases","1 Humanities and Social Sciences_AND_102 History_AND_11 Humanities","dataProvider","Copyrights","open","open","Contribution Policy_AND_Freedom of Information Act - FOAI_AND_Privacy and Use","You will find in the Access to Archival Databases (AAD) resource online access to records in a small selection of historic databases preserved permanently in NARA. Out of the nearly 200,000 data files in its holdings, NARA has selected approximately 475 of them for public searching through AAD. We selected these data because the records identify specific persons, geographic areas, organizations, and dates. The records cover a wide variety of civilian and military functions and have many genealogical, social, political, and economic research uses. AAD provides: Access to over 85 million historic electronic records created by more than 30 agencies of the U.S. federal government and from collections of donated historical materials.
Both free-text and fielded searching options. The ability to retrieve, print, and download records with the specific information that you seek. Information to help you find and understand the records."
"r3d100000004","disciplinary","RatSWD","https://dgd.ids-mannheim.de/","Datenbank Gesprochenes Deutsch","1 Humanities and Social Sciences_AND_104 Linguistics_AND_11 Humanities","dataProvider_AND_serviceProvider","other","restricted","restricted","Erfurter Aufruf zur Sicherung von Sprachinseldaten_AND_Kriterien des RatSWD_AND_Nutzungsbedingungen","The ""Database for Spoken German (DGD)"" is a corpus management system in the program area Oral Corpora of the Institute for German Language (IDS). It has been online since the beginning of 2012 and since mid-2014 replaces the spoken German database, which was developed in the ""Deutsches Spracharchiv (DSAv)"" of the IDS.
After single registration, the DGD offers external users a web-based access to selected parts of the collection of the  ""Archive Spoken German (AGD)"" for use in research and teaching. The selection of the data for external use depends on the consent of the respective data provider, who in turn must have the appropriate usage and exploitation rights. Also relevant to the selection are certain protection needs of the archive.
The Archive for Spoken German (AGD) collects and archives data of spoken German in interactions (conversation corpora) and data of domestic and non-domestic varieties of German (variation corpora). Currently, the AGD hosts around 50 corpora comprising more than 15000 audio and 500 video recordings amounting to around 5000 hours of recorded material with more than 7000 transcripts. With the Research and Teaching Corpus of Spoken German (FOLK) the AGD is also compiling an extensive German conversation corpus of its own.
!!! Access to data of Datenbank Gesprochenes Deutsch (DGD) is also provided by: IDS Repository https://www.re3data.org/repository/r3d100010382 !!!"
"r3d100000005","institutional","","https://dataverse.unc.edu/","UNC Dataverse","1 Humanities and Social Sciences_AND_111 Social Sciences_AND_12 Social and Behavioural Sciences","dataProvider_AND_serviceProvider","CC","open","open_AND_restricted","Collection Development Policy_AND_Data Security Guidelines_AND_Digital preservation policiy_AND_Metadata Guidelines_AND_UNC Dataverse Terms of Use","UNC Dataverse is an open-source repository software application for archiving, sharing, and accessing research data of all kinds.
Each dataverse within the larger repository contains a multitude of datasets, and each dataset contains descriptive metadata and data files.
UNC Dataverse is hosted by Odum Institute for Research in Social Science."
"r3d100000006","disciplinary","other","https://archaeologydataservice.ac.uk/","Archaeology Data Service","1 Humanities and Social Sciences_AND_101 Ancient Cultures_AND_10104 Classical Archaeology_AND_102 History_AND_11 Humanities","dataProvider_AND_serviceProvider","CC_AND_Copyrights","open","open","ADS Guides to good practice_AND_ADS Terms of Use and Access_AND_CTS assessment_AND_Collections Policy_AND_Preservation Policy_AND_Repository Operations","The ADS is an accredited digital repository for heritage data that supports research, learning and teaching with freely available, high quality and dependable digital resources by preserving and disseminating digital data in the long term. The ADS also promotes good practice in the use of digital data, provides technical advice to the heritage community, and supports the deployment of digital technologies."
"r3d100000007","disciplinary_AND_institutional","","http://archive.eso.org/cms.html","ESO Science Archive Facility","3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider","CC_AND_other","open","embargoed_AND_restricted","ESO Data Access Policy_AND_VLT/VLTI SCIENCE OPERATIONS POLICY","The ESO/ST-ECF science archive is a joint collaboration of the European Organisation for Astronomical Research in the Southern Hemisphere (ESO) and the Space Telescope - European Coordinating Facility (ST-ECF). ESO observational data can be requested after the proprietary period by the astronomical community."
"r3d100000011","disciplinary","other","http://archive.ceda.ac.uk/","The CEDA Archive","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","other","open","open_AND_restricted","Access Rules_AND_BADC Policy and Guidelines_AND_Core Trust Seal_AND_NCAS - AMF Data Policy_AND_Policies_AND_Terms and Conditions_AND_UK Met. Office","The Natural Environment Research Council's Data Repository for Atmospheric Science and Earth Observation. The Centre for Environmental Data Analysis (CEDA) serves the environmental science community through three data centres, data analysis environments, and participation in a host of relevant research projects.
We aim to support environmental science, further environmental data archival practices, and develop and deploy new technologies to enhance access to data. Additionally we provide services to aid large scale data analysis."
"r3d100000012","disciplinary","other","https://www.bco-dmo.org/","Biological and Chemical Oceanography Data Management Office","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_31302 Oceanography_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_other","open","open","CoreTrustSealAssessment_AND_NSF OCE Sample and Data Policy_AND_Terms of Use","The Biological and Chemical Oceanography Data Management Office (BCO-DMO) is a publicly accessible earth science data repository created to curate, publicly serve (publish), and archive digital data and information from biological, chemical and biogeochemical research conducted in coastal, marine, great lakes and laboratory environments. The BCO-DMO repository works closely with investigators funded through the NSF OCE Division’s Biological and Chemical Sections and the Division of Polar Programs Antarctic Organisms & Ecosystems. The office provides services that span the full data life cycle, from data management planning support and DOI creation, to archive with appropriate national facilities."
"r3d100000013","other","","https://sourceforge.net/projects/blueobelisk/","Blue Obelisk Data Repository","3 Natural Sciences_AND_31 Chemistry_AND_32 Physics","serviceProvider","other","open","open","Terms of Use","The Blue Obelisk Data Repository lists many important chemoinformatics data such as element and isotope properties, atomic radii, etc. including references to original literature. Developers can use this repository to make their software interoperable."
"r3d100000015","disciplinary_AND_institutional","","","California Water CyberInfrastructure","3 Natural Sciences_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider","","open","restricted","","The repository is no longer available. >>>!!!<<< 2021-01-25: no more access to California Water CyberInfrastructure >>>!!!<<<"
