"re3data_ID","type","certificate","repositoryURL","repositoryName","subject","providerType","dataLicenseName","databaseAccessType","dataAccessType","policyName","description"
"r3d100000017","disciplinary","","https://www.cbil.upenn.edu/RAD","RNA Abundance Database","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20105 General Genetics_AND_21 Biology","dataProvider","other","open","restricted","","===  !!!!!    Due to changes in technology and funding, the RAD website is no longer available     !!!!!   ==="
"r3d100000018","disciplinary","","https://library.ucsd.edu/dc/collection/bb5940732k","Cell Centered Database","2 Life Sciences_AND_205 Medicine_AND_20503 Human Genetics_AND_206 Neurosciences_AND_22 Medicine","dataProvider","CC_AND_other","open","embargoed_AND_open_AND_restricted","New user account agreement: terms & conditions_AND_Privacy Notice",">>>  !!!!!     The Cell Centered Database is no longer on serice. It has been merged with ""Cell image library"":  https://www.re3data.org/repository/r3d100000023  !!!!!  <<<<"
"r3d100000022","disciplinary_AND_institutional","","https://oriseapps.orau.gov/cedr/","Comprehensive Epidemiological Data Resource","2 Life Sciences_AND_205 Medicine_AND_22 Medicine_AND_4 Engineering Sciences_AND_408 Electrical Engineering_AND_40803 Electrical Energy Generation, Distribution, Application_AND_44 Computer Science, Electrical and System Engineering","dataProvider_AND_serviceProvider","other","open","restricted","Federal Information Security Management Act (FISMA) Implementation Project","The Comprehensive Epidemiologic Data Resource (CEDR) is the U.S. Department of Energy (DOE) electronic database comprised of health studies of DOE contract workers and environmental studies of areas surrounding DOE facilities. DOE recognizes the benefits of data sharing and supports the public's right to know about worker and community health risks. CEDR provides independent researchers and educators with access to de-identified data collected since the Department's early production years. Current CEDR holdings include more than 76 studies of over 1 million workers at 31 DOE sites. Access to these data is at no cost to the user."
"r3d100000023","disciplinary","","http://www.cellimagelibrary.org/home","The Cell Image Library","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20103 Cell Biology_AND_202 Plant Sciences_AND_20206 Plant Cell and Developmental Biology_AND_203 Zoology_AND_20306 Animal Genetics, Cell and Developmental Biology_AND_205 Medicine_AND_206 Neurosciences_AND_21 Biology_AND_22 Medicine","dataProvider","CC_AND_Copyrights_AND_Public Domain_AND_other","open","open","Licensing Policy","This library is a public and easily accessible resource database of images, videos, and animations of cells, capturing a wide diversity of organisms, cell types, and cellular processes. The Cell Image Library has been merged with ""Cell Centered Database"" in 2017. The purpose of the database is to advance research on cellular activity, with the ultimate goal of improving human health."
"r3d100000033","disciplinary","","https://forestgeo.si.edu/","Forest Global Earth Observatory","2 Life Sciences_AND_203 Zoology_AND_20302 Evolution, Anthropology_AND_21 Biology","dataProvider","Copyrights","open","open","Smithsonian Institution's Privacy Statement_AND_Terms of Use","The Center for Tropical Forest Science (CTFS) is a global network of forest research plots committed to the study of tropical and temperate forest function and diversity. The multi-institutional network comprises more than forty forest research plots across the Americas, Africa, Asia, and Europe, with a strong focus on tropical regions. CTFS monitors the growth and survival of about 6 million trees of approximately 10,000 species."
"r3d100000038","disciplinary","other","https://data.aad.gov.au/","Australian Antarctic Data Centre","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_32 Physics_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC","open","open_AND_restricted","Conditions of Use_AND_Data Policy","The Australian Antarctic Data Centre (AADC) provides data collection and data management services in Australia's Antarctic Science Program. The AADC manages science data from Australia's Antarctic research, maps Australia's areas of interest in the Antarctic region, manages Australia's Antarctic state of the environment reporting, and provides advice and education and a range of other products."
"r3d100000039","disciplinary_AND_institutional","WDS","https://www.gbif.org/","Global Biodiversity Information Facility","2 Life Sciences_AND_202 Plant Sciences_AND_20202 Plant Ecology and Ecosystem Analysis_AND_203 Zoology_AND_20303 Animal Ecology, Biodiversity and Ecosystem Research_AND_21 Biology","dataProvider_AND_serviceProvider","CC_AND_CC0_AND_other","open","open","Data User Agreement_AND_Terms of use","GBIF is an international organisation that is working to make the world's biodiversity data accessible everywhere in the world. GBIF and its many partners work to mobilize the data, and to improve search mechanisms, data and metadata standards, web services, and the other components of an Internet-based information infrastructure for biodiversity.
GBIF makes available data that are shared by hundreds of data publishers from around the world. These data are shared according to the GBIF Data Use Agreement, which includes the provision that users of any data accessed through or retrieved via the GBIF Portal will always give credit to the original data publishers."
"r3d100000043","disciplinary","","https://databasin.org/","DataBasin","2 Life Sciences_AND_203 Zoology_AND_21 Biology_AND_3 Natural Sciences_AND_34 Geosciences (including Geography)","dataProvider","CC_AND_other","open","open_AND_restricted","Terms and Conditions_AND_Terms of Use","Data Basin is a science-based mapping and analysis platform that supports learning, research, and sustainable environmental stewardship."
"r3d100010051","disciplinary_AND_institutional","","https://dataverse.harvard.edu/","Harvard Dataverse","1 Humanities and Social Sciences_AND_111 Social Sciences_AND_112 Economics_AND_12 Social and Behavioural Sciences_AND_2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_21 Biology_AND_3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider_AND_serviceProvider","CC0","open","open","API Terms of Use_AND_Terms of use","The Harvard Dataverse is open to all scientific data from all disciplines worldwide. It includes the world's largest collection of social science research data. It is hosting data for projects, archives, researchers, journals, organizations, and institutions."
"r3d100010056","disciplinary","","https://www.coris.noaa.gov/","CoRIS","2 Life Sciences_AND_21 Biology_AND_3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31302 Oceanography_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","Copyrights","open","open_AND_restricted","disclaimer_AND_privacy policy","NOAA's Coral Reef Information System (CoRIS) is a web-based information portal that provides access to NOAA coral reef information and data products with emphasis on the U.S. states, territories and remote island areas. NOAA Coral Reef activities include coral reef mapping, monitoring and assessment; natural and socioeconomic research and modeling; outreach and education; and management and stewardship."
