"re3data_ID","type","certificate","repositoryURL","repositoryName","subject","providerType","dataLicenseName","databaseAccessType","dataAccessType","policyName","description"
"r3d100000007","disciplinary_AND_institutional","","http://archive.eso.org/cms.html","ESO Science Archive Facility","3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","dataProvider","CC_AND_other","open","embargoed_AND_restricted","ESO Data Access Policy_AND_VLT/VLTI SCIENCE OPERATIONS POLICY","The ESO/ST-ECF science archive is a joint collaboration of the European Organisation for Astronomical Research in the Southern Hemisphere (ESO) and the Space Telescope - European Coordinating Facility (ST-ECF). ESO observational data can be requested after the proprietary period by the astronomical community."
"r3d100000011","disciplinary","other","http://archive.ceda.ac.uk/","The CEDA Archive","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","other","open","open_AND_restricted","Access Rules_AND_BADC Policy and Guidelines_AND_Core Trust Seal_AND_NCAS - AMF Data Policy_AND_Policies_AND_Terms and Conditions_AND_UK Met. Office","The Natural Environment Research Council's Data Repository for Atmospheric Science and Earth Observation. The Centre for Environmental Data Analysis (CEDA) serves the environmental science community through three data centres, data analysis environments, and participation in a host of relevant research projects.
We aim to support environmental science, further environmental data archival practices, and develop and deploy new technologies to enhance access to data. Additionally we provide services to aid large scale data analysis."
"r3d100000012","disciplinary","other","https://www.bco-dmo.org/","Biological and Chemical Oceanography Data Management Office","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31301 Atmospheric Science_AND_31302 Oceanography_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_other","open","open","CoreTrustSealAssessment_AND_NSF OCE Sample and Data Policy_AND_Terms of Use","The Biological and Chemical Oceanography Data Management Office (BCO-DMO) is a publicly accessible earth science data repository created to curate, publicly serve (publish), and archive digital data and information from biological, chemical and biogeochemical research conducted in coastal, marine, great lakes and laboratory environments. The BCO-DMO repository works closely with investigators funded through the NSF OCE Division’s Biological and Chemical Sections and the Division of Polar Programs Antarctic Organisms & Ecosystems. The office provides services that span the full data life cycle, from data management planning support and DOI creation, to archive with appropriate national facilities."
"r3d100000013","other","","https://sourceforge.net/projects/blueobelisk/","Blue Obelisk Data Repository","3 Natural Sciences_AND_31 Chemistry_AND_32 Physics","serviceProvider","other","open","open","Terms of Use","The Blue Obelisk Data Repository lists many important chemoinformatics data such as element and isotope properties, atomic radii, etc. including references to original literature. Developers can use this repository to make their software interoperable."
"r3d100000015","disciplinary_AND_institutional","","","California Water CyberInfrastructure","3 Natural Sciences_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider","","open","restricted","","The repository is no longer available. >>>!!!<<< 2021-01-25: no more access to California Water CyberInfrastructure >>>!!!<<<"
"r3d100000016","disciplinary","WDS","http://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/en/","Canadian Astronomy Data Centre","3 Natural Sciences_AND_311 Astrophysics and Astronomy_AND_32 Physics","serviceProvider","Copyrights","open","open_AND_restricted","Certification of WDS Members_AND_ICSU World Data System Constitution_AND_Terms and Conditions","The Canadian Astronomy Data Centre (CADC) was established in 1986 by the National Research Council of Canada (NRC), through a grant provided by the Canadian Space Agency (CSA). Over the past 30 years the CADC has evolved from an archiving centre---hosting data from Hubble Space Telescope, Canada-France-Hawaii Telescope, the Gemini observatories, and the James Clerk Maxwell Telescope---into a Science Platform for data-intensive astronomy. The CADC, in partnership with Shared Services Canada, Compute Canada, CANARIE and the university community (funded through the Canadian Foundation for Innovation), offers cloud computing, user-managed storage, group management, and data publication services, in addition to its ongoing mission to provide permanent storage for major data collections.

Located at NRC Herzberg Astronomy and Astrophysics Research Centre in Victoria, BC, the CADC staff consists of professional astronomers, software developers, and operations staff who work with the community to develop and deliver leading-edge services to advance Canadian research. The CADC plays a leading role in international efforts to improve the scientific/technical landscape that supports data intensive science. This includes leadership roles in the International Virtual Observatory Alliance and participation in organizations like the Research Data Alliance, CODATA, and the World Data Systems. CADC also contributes significantly to future Canadian projects like the Square Kilometre Array and TMT. 

In 2019, the Canadian Astronomy Data Centre (CADC) delivered over 2 Petabytes of data (over 200 million individual files) to thousands of astronomers in Canada and in over 80 other countries. The cloud processing system completed over 6 million jobs (over 1100 core years) in 2019."
"r3d100000017","disciplinary","","https://www.cbil.upenn.edu/RAD","RNA Abundance Database","2 Life Sciences_AND_201 Basic Biological and Medical Research_AND_20105 General Genetics_AND_21 Biology","dataProvider","other","open","restricted","","===  !!!!!    Due to changes in technology and funding, the RAD website is no longer available     !!!!!   ==="
"r3d100000018","disciplinary","","https://library.ucsd.edu/dc/collection/bb5940732k","Cell Centered Database","2 Life Sciences_AND_205 Medicine_AND_20503 Human Genetics_AND_206 Neurosciences_AND_22 Medicine","dataProvider","CC_AND_other","open","embargoed_AND_open_AND_restricted","New user account agreement: terms & conditions_AND_Privacy Notice",">>>  !!!!!     The Cell Centered Database is no longer on serice. It has been merged with ""Cell image library"":  https://www.re3data.org/repository/r3d100000023  !!!!!  <<<<"
"r3d100000019","disciplinary","","https://ess-dive.lbl.gov/","ESS-DIVE","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_317 Geography_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","CC_AND_CC0_AND_Copyrights","open","open","DOE Policy for Digital Research Data Management_AND_Terms of Use","The U.S. Department of Energy’s (DOE) Environmental Systems Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) data archive serves Earth and environmental science data. ESS-DIVE is funded by the Data Management program within the Climate and Environmental Science Division under the DOE’s Office of Biological and Environmental Research program (BER), and is maintained by the Lawrence Berkeley National Laboratory.

ESS-DIVE will archive and publicly share data obtained from observational, experimental, and modeling research that is funded by the DOE’s Office of Science under its Subsurface Biogeochemical Research (SBR) and Terrestrial Ecosystem Science (TES) programs within the Environmental Systems Science (ESS) activity.

ESS-DIVE was launched in July 2017, and is designed to provide long-term stewardship and use of data from observational, experimental and modeling activities in the DOE in the Subsurface Biogeochemical Research (SBR) and Terrestrial Ecosystem Science (TES) Programs in the Environmental System Science (ESS) activity."
"r3d100000020","disciplinary","","http://cdip.ucsd.edu/","Coastal Data Information Program","3 Natural Sciences_AND_313 Atmospheric Science and Oceanography_AND_31302 Oceanography_AND_317 Geography_AND_318 Water Research_AND_34 Geosciences (including Geography)","dataProvider_AND_serviceProvider","other","open","open","Data Use and Acknowledgements","The Coastal Data Information Program (CDIP) is an extensive network for monitoring waves and beaches along the coastlines of the United States. Since its inception in 1975, the program has produced a vast database of publicly-accessible environmental data for use by coastal engineers and planners, scientists, mariners, and marine enthusiasts. The program has also remained at the forefront of coastal monitoring, developing numerous innovations in instrumentation, system control and management, computer hardware and software, field equipment, and installation techniques."
